year,hk_related,total
1968,7,29
1969,6,13
1970,3,25
1971,7,24
1972,16,38
1973,21,42
1974,26,68
1975,24,79
1976,25,65
1977,6,56
1978,14,58
1979,36,85
1980,36,86
1981,55,97
1982,56,106
1983,56,123
1984,55,137
1985,50,127
1986,54,141
1987,68,159
1988,81,187
1989,79,178
1990,80,189
1991,77,181
1992,99,247
1993,89,240
1994,95,306
1995,116,332
1996,119,394
1997,138,435
1998,148,490
1999,147,499
2000,119,476
2001,139,529
2002,138,559
2003,97,541
2004,123,654
2005,130,603
2006,107,562
2007,108,586
2008,86,605
2009,84,540
2010,88,597
2011,111,686
2012,74,613
2013,68,597
2014,70,583
2015,52,581
2016,59,620
2017,65,799
2018,41,639
2019,61,702
2020,52,698
2021,56,758
2022,41,695
2023,20,147
